"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.087570583E0,-5.450112234E-1,-1.738435686E-2,1.919293574E0,1.995251180E0
1.097539583E0,-1.942550290E-1,-2.796898663E-2,2.605190681E0,2.612572634E0
1.107509583E0,1.928261156E-1,-9.708424509E-2,3.039294403E0,3.046952204E0
1.117478834E0,4.871120940E-1,2.821983218E-2,3.483785119E0,3.517788127E0
1.127448833E0,7.148931572E-1,1.209309447E-1,3.893548052E0,3.960481404E0
1.137418833E0,7.321406892E-1,2.165931469E-1,4.264244567E0,4.332057745E0
1.147387833E0,3.522681382E-1,3.195415646E-1,4.623355994E0,4.647754329E0
1.157357833E0,-3.498038292E-2,7.881637394E-2,4.826062589E0,4.826832891E0
1.167326833E0,2.626700833E-2,-2.959299231E-1,4.960114101E0,4.969003559E0
1.177296833E0,4.431515573E-1,-3.989040685E-1,5.277446002E0,5.311021000E0
1.187265833E0,6.673642109E-1,-2.858235955E-1,5.463840619E0,5.511862156E0
1.197235833E0,3.908068442E-1,-2.032766980E-1,5.116531797E0,5.135459963E0
1.207205833E0,-2.179004382E-1,-2.795191276E-1,4.058944148E0,4.074388192E0
1.217174833E0,-1.147355858E0,-3.899239147E-1,2.609196024E0,2.876868091E0
1.227144833E0,-2.444541209E0,-2.699776411E-1,1.031355870E0,2.666901681E0
1.237113833E0,-3.845025517E0,-3.621765375E-3,-2.912354860E-1,3.856041034E0
1.247083833E0,-4.904302427E0,-8.783219576E-2,-1.092036228E0,5.025180585E0
1.257052833E0,-5.666876412E0,-4.754628325E-1,-1.402013209E0,5.857063617E0
1.267022833E0,-5.786342629E0,-8.215916866E-1,-1.557369344E0,6.048319865E0
1.276992833E0,-5.338379252E0,-8.527269405E-1,-1.506990026E0,5.612170276E0
1.286961833E0,-4.265976220E0,-7.914948982E-1,-1.176097847E0,4.495355762E0
